date,Changes,NormalChange,Label
2020-06-22,26.0,0.5274725274725275,0
2020-06-23,-47.0,0.5015951790145339,0
2020-06-24,101.0,0.554058844381425,0
2020-06-25,-208.0,0.44452321871676714,0
2020-06-26,66.0,0.5416518964906062,0
2020-06-27,-20.0,0.511166253101737,0
2020-06-28,450.0,0.6777738390641617,1
2020-06-29,-382.0,0.38284296348812485,2
2020-06-30,-286.0,0.4168734491315137,2
2020-07-01,567.0,0.7192484934420419,1
2020-07-02,-248.0,0.43034384969868844,2
2020-07-03,-93.0,0.4852889046437434,0
2020-07-04,-7.0,0.5157745480326126,0
2020-07-05,180.0,0.5820630981921305,0
2020-07-06,-167.0,0.4590570719602978,0
2020-07-07,35.0,0.5306628855015952,0
2020-07-08,104.0,0.5551222970577809,0
2020-07-09,-50.0,0.500531726338178,0
2020-07-10,-100.0,0.4828075150655796,0
2020-07-11,23.0,0.5264090747961716,0
2020-07-12,321.0,0.6320453739808579,1
2020-07-13,-234.0,0.43530662885501603,2
2020-07-14,10.0,0.521800779865296,0
2020-07-15,96.0,0.5522864232541652,0
2020-07-16,-32.0,0.5069124423963134,0
2020-07-17,-75.0,0.4916696207018788,0
2020-07-18,9.0,0.5214462956398441,0
2020-07-19,447.0,0.6767103863878058,1
2020-07-20,-213.0,0.4427507975895073,0
2020-07-21,-30.0,0.5076214108472173,0
2020-07-22,-111.0,0.478908188585608,0
2020-07-23,102.0,0.5544133286068771,0
2020-07-24,-184.0,0.4530308401276144,0
2020-07-25,5.0,0.5200283587380362,0
2020-07-26,331.0,0.6355902162353776,1
2020-07-27,-289.0,0.4158099964551578,2
2020-07-28,15.0,0.5235732009925559,0
2020-07-29,-19.0,0.511520737327189,0
2020-07-30,120.0,0.5607940446650125,0
2020-07-31,-226.0,0.43814250265863175,2
2020-08-01,-2.0,0.5175469691598724,0
2020-08-02,-138.0,0.4693371144984049,0
2020-08-03,614.0,0.7359092520382844,1
2020-08-04,-366.0,0.3885147110953563,2
2020-08-05,-21.0,0.5108117688762851,0
2020-08-06,50.0,0.5359801488833748,0
2020-08-07,-188.0,0.4516129032258065,0
2020-08-08,-6.0,0.5161290322580646,0
2020-08-09,451.0,0.6781283232896137,1
2020-08-10,-392.0,0.3792981212336052,2
2020-08-11,134.0,0.56575682382134,0
2020-08-12,-33.0,0.5065579581708615,0
2020-08-13,28.0,0.5281814959234314,0
2020-08-14,-181.0,0.4540942928039703,0
2020-08-15,-39.0,0.5044310528181496,0
2020-08-16,587.0,0.7263381779510812,1
2020-08-17,-503.0,0.33995037220843677,2
2020-08-18,54.0,0.5373980857851826,0
2020-08-19,47.0,0.5349166962070189,0
2020-08-20,116.0,0.5593761077632046,0
2020-08-21,-242.0,0.43247075505140026,2
2020-08-22,10.0,0.521800779865296,0
2020-08-23,484.0,0.6898263027295286,1
2020-08-24,-429.0,0.36618220489188236,2
2020-08-25,126.0,0.5629209500177242,0
2020-08-26,-47.0,0.5015951790145339,0
2020-08-27,91.0,0.5505140021269054,0
2020-08-28,-129.0,0.47252747252747257,0
2020-08-29,-96.0,0.48422545196738753,0
2020-08-30,741.0,0.7809287486706842,1
2020-08-31,-531.0,0.3300248138957817,2
2020-09-01,21.0,0.5257001063452676,0
2020-09-02,72.0,0.5437788018433181,0
2020-09-03,61.0,0.5398794753633464,0
2020-09-04,-260.0,0.42609003899326486,2
2020-09-05,29.0,0.5285359801488835,0
2020-09-06,-153.0,0.46401985111662536,0
2020-09-07,1359.0,1.0,1
2020-09-08,-1060.0,0.14250265863169093,2
2020-09-09,84.0,0.5480326125487416,0
2020-09-10,72.0,0.5437788018433181,0
2020-09-11,-187.0,0.4519673874512585,0
2020-09-12,3.0,0.5193193902871323,0
2020-09-13,833.0,0.8135412974122652,1
2020-09-14,-558.0,0.3204537398085786,2
2020-09-15,151.0,0.5717830556540234,0
2020-09-16,176.0,0.5806451612903226,0
2020-09-17,-76.0,0.49131513647642683,0
2020-09-18,-181.0,0.4540942928039703,0
2020-09-19,12.0,0.5225097483162,0
2020-09-20,891.0,0.8341013824884793,1
2020-09-21,-518.0,0.33463310882665726,2
2020-09-22,-158.0,0.4622474299893655,0
2020-09-23,251.0,0.6072314781992202,0
2020-09-24,21.0,0.5257001063452676,0
2020-09-25,-147.0,0.4661467564693372,0
2020-09-26,239.0,0.6029776674937966,0
2020-09-27,722.0,0.7741935483870968,1
2020-09-28,-516.0,0.3353420772775612,2
2020-09-29,137.0,0.566820276497696,0
2020-09-30,-20.0,0.511166253101737,0
2020-10-01,347.0,0.641261963842609,1
2020-10-02,-312.0,0.4076568592697626,2
2020-10-03,-127.0,0.4732364409783765,0
2020-10-04,1119.0,0.9149237858915279,1
2020-10-05,-441.0,0.3619283941864587,2
2020-10-06,-563.0,0.31868131868131877,2
2020-10-07,636.0,0.7437079049982276,1
2020-10-08,122.0,0.5615030131159164,0
