date,Changes
2020-07-08,147.78571428571428
2020-07-09,48.14285714285717
2020-07-10,113.35714285714283
2020-07-11,222.57142857142856
2020-07-12,207.5
2020-07-13,-104.85714285714283
2020-07-14,133.85714285714283
2020-07-15,128.92857142857144
2020-07-16,29.785714285714278
2020-07-17,69.5
2020-07-18,141.42857142857144
2020-07-19,128.57142857142856
2020-07-20,-364.07142857142856
2020-07-21,-137.64285714285717
2020-07-22,-118.21428571428572
2020-07-23,-11.357142857142833
2020-07-24,-121.21428571428572
2020-07-25,54.64285714285717
2020-07-26,40.71428571428572
2020-07-27,-290.64285714285717
2020-07-28,-9.357142857142833
2020-07-29,-23.571428571428555
2020-07-30,-4.785714285714278
2020-07-31,-131.57142857142856
2020-08-01,90.85714285714283
2020-08-02,86.64285714285717
2020-08-03,270.2142857142857
